S.No.,State Code,State Name,Local Body Code,Local Body Version,Local Body Name (In English),Local Body Name (In Local),Localbody Type Code,Census 2011 Code
1167,20,Jharkhand,250378,1,Dhanbad,धनबाद,4,801775
1168,20,Jharkhand,277138,2,Dhanwar,धनवार,7,0
1169,20,Jharkhand,277135,7,Domchanch,डोमचांच,7,0
1170,20,Jharkhand,248054,1,Dumka,दुमका,5,801791
1171,20,Jharkhand,248128,2,Garhwa,गढ़वा,5,801764
1172,20,Jharkhand,250349,19,Giridih Municipal Corporation,गिरिडीह,4,801768
1173,20,Jharkhand,248051,2,Godda,गोड्डा,5,801771
1174,20,Jharkhand,248057,2,Gumla,गुमला,5,801797
1175,20,Jharkhand,300371,1,Hariharganj Municipal Corporation,Hariharganj Municipal Corporation,4,0
1176,20,Jharkhand,248130,6,Hazaribag,हजारीबाग,4,801788
1177,20,Jharkhand,250323,1,Hussainabad,हुस्सैनाबाद,7,801784
1178,20,Jharkhand,250434,1,Jamshedpur,Jamshedpur,6,801781
1179,20,Jharkhand,248134,1,Jamtara,जामताड़ा,7,801792
1180,20,Jharkhand,248132,1,Jhumri Telaiya,झुमरी तेलैया,5,801767
1181,20,Jharkhand,250435,1,Jugsalai,Jugsalai,5,801782
1182,20,Jharkhand,276352,2,Kapali,कपाली,5,0
1183,20,Jharkhand,250414,1,Khunti,खूंटी,7,801796
1184,20,Jharkhand,248131,2,Kodarma,कोडरमा,7,801766
1185,20,Jharkhand,250326,1,Latehar,लातेहार,7,801787
1186,20,Jharkhand,248137,1,Lohardaga,लोहरदगा,5,801779
1187,20,Jharkhand,248050,1,Madhupur,मधुपुर,5,801770
1188,20,Jharkhand,300370,2,Mahagama Municipal Corporation,Mahagama Municipal Corporation,7,0
1189,20,Jharkhand,250433,2,Mango,Mango,4,801780
1190,20,Jharkhand,253228,1,Manjhiaon,Manjhiaon,7,801763
1191,20,Jharkhand,250324,7,Medininagar (Daltonganj) Municipal Corporation,मेदिनीनगर,4,801786
1192,20,Jharkhand,248135,1,Mihijam,मिहिजाम,5,801793
1193,20,Jharkhand,274815,4,Nagar Untari Nagar Panchayat,नगर उन्तरी नगर पंचयात,7,0
